기업명,문의 일자,진행 날짜,상태,진행 팀,담당자,문의경로,공간,디자인 팀,"제안서, 견적서"
강남구의회,2024-11-14,2024-12-19,진행 완료,기획조정1팀,이서호,전화,요청 없음,디자인 확정 완료,"https://task-api.office.hiworks.com/v1/attached-files/675bc743ae863f2f6b3b252e/download, https://task-api.office.hiworks.com/v1/attached-files/675bc743ae863f2f6b3b252f/download"
경기과학고등학교,2024-11-20,2025-01-08,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e57c782312b785bdd1423/download, https://task-api.office.hiworks.com/v1/attached-files/674e57c782312b785bdd1424/download"
위버스매거진,2024-11-20,2024-12-12,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e5818cfd4f57d8278ace9/download, https://task-api.office.hiworks.com/v1/attached-files/674e5818cfd4f57d8278acea/download"
두산큐벡스(주),2024-11-20,,취소,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e587582312b785bdd1432/download, https://task-api.office.hiworks.com/v1/attached-files/674e587582312b785bdd1433/download"
서울특별시한부모가족지원센터,2024-11-25,2024-12-11,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,https://task-api.office.hiworks.com/v1/attached-files/674e58ef82312b785bdd144f/download
한양대병원,2024-09-06,,취소,기획조정1팀,송경은,전화,,,
경기주택도시공사,2024-11-25,2024-12-04,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e593ccfd4f57d8278acff/download, https://task-api.office.hiworks.com/v1/attached-files/674e593ccfd4f57d8278ad00/download"
GS E&R,2024-09-06,,취소,기획조정1팀,송경은,홈페이지,,,
강남구도시관리공단,2024-08-07,,취소,기획조정1팀,이서호,전화,,,
보문고등학교,2024-11-26,2024-12-30,진행 완료,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e5981cfd4f57d8278ad07/download, https://task-api.office.hiworks.com/v1/attached-files/674e5981cfd4f57d8278ad08/download"
아로조,2024-07-11,,취소,기획조정1팀,이서호,홈페이지,,,
한국문화예술교육진흥원,2024-11-18,2024-12-06,진행 완료,기획조정1팀,이서호,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e5a38a195c730953556a5/download, https://task-api.office.hiworks.com/v1/attached-files/674e5a38a195c730953556a6/download"
(주)더캠,2024-11-27,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e5a786d0824498fd1a544/download, https://task-api.office.hiworks.com/v1/attached-files/674e5a786d0824498fd1a545/download"
LH주거복지정보,2024-11-05,2025-06-20,진행 완료,기획조정1팀,이서호,전화,,,"https://task-api.office.hiworks.com/v1/attached-files/680b29dc44ef94067bccf093/download, https://task-api.office.hiworks.com/v1/attached-files/680b29dc44ef94067bccf094/download"
랩인큐브,2024-11-12,,취소,기획조정1팀,이서호,전화,,,
강원관광재단,2024-11-28,2024-12-06,진행 완료,기획조정1팀,한보라,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/674e5c5c82312b785bdd149e/download, https://task-api.office.hiworks.com/v1/attached-files/674e5c5c82312b785bdd149f/download"
엠이케이 INC,2024-12-02,2024-12-13,진행 완료,기획조정팀,김송희,전화,,요청 없음,https://task-api.office.hiworks.com/v1/attached-files/6752ad4b82312b785bdd379d/download
SK하이닉스,2024-12-03,,취소,기획조정팀,김송희,홈페이지,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6758ded582312b785bdd545b/download, https://task-api.office.hiworks.com/v1/attached-files/6758dedc82312b785bdd5463/download"
동원리더스아카데미,2024-11-29,2024-12-18,진행 완료,기획조정팀,안광열,개인,요청 없음,요청 없음,
알트나인,2024-12-03,,취소,기획조정1팀,한보라,홈페이지,,,"https://task-api.office.hiworks.com/v1/attached-files/6751746782312b785bdd2f6d/download, https://task-api.office.hiworks.com/v1/attached-files/6751746d82312b785bdd2f6f/download"
잡플래닛,2024-12-02,,취소,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,
넥슨유니버스,2024-12-04,2024-12-10,진행 완료,기획조정1팀,한보라,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6750172dcfd4f57d8278bdf8/download, https://task-api.office.hiworks.com/v1/attached-files/675299ec82312b785bdd3609/download"
타임교육,2024-12-03,2025-04-20,진행 완료,기획조정1팀,이서호,홈페이지,,요청 없음,
하이라이트 브랜즈,2024-12-04,,취소,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67515106cfd4f57d8278c5fe/download, https://task-api.office.hiworks.com/v1/attached-files/6751510acfd4f57d8278c602/download"
창조경제혁신센터,2024-12-04,2024-12-23,진행 완료,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6751743582312b785bdd2f6a/download, https://task-api.office.hiworks.com/v1/attached-files/67517438cfd4f57d8278c831/download"
대한항공,2024-12-04,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,https://task-api.office.hiworks.com/v1/attached-files/67515175cfd4f57d8278c60a/download
지금융코리아,2024-11-07,2024-12-13,진행 완료,기획조정1팀,이서호,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67516b8582312b785bdd2eb5/download, https://task-api.office.hiworks.com/v1/attached-files/67516b8582312b785bdd2eb6/download"
한국기술교육대학교 일학습병행 공동훈련센터 지원단,2024-12-06,2024-12-19,진행 완료,기획조정팀,안광열,홈페이지,요청 없음,요청 없음,
페렌벨,2024-12-09,,취소,기획조정1팀,한보라,전화,,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/675796c482312b785bdd475a/download, https://task-api.office.hiworks.com/v1/attached-files/675796c482312b785bdd475b/download"
벨포코리아,2024-11-26,2024-12-18,진행 완료,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6757e39582312b785bdd4cf4/download, https://task-api.office.hiworks.com/v1/attached-files/6757e39582312b785bdd4cf5/download"
KCA,2024-12-10,2024-12-16,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/675a655fae863f2f6b3b191b/download, https://task-api.office.hiworks.com/v1/attached-files/675a6569ae863f2f6b3b191e/download"
메틀러토레토,2024-12-11,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,
ACN코리아,2024-12-13,,취소,기획조정2팀,송경은,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67628b8ae226ea34ff1c4c00/download, https://task-api.office.hiworks.com/v1/attached-files/67628b90e226ea34ff1c4c03/download"
아메리칸익스프레스,2024-12-13,,취소,기획조정1팀,한보라,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/675bdf75e47410659b1b37fd/download, https://task-api.office.hiworks.com/v1/attached-files/675bdf75e47410659b1b37fe/download"
LG전자,2024-11-19,2024-12-13,진행 완료,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/675bf815e47410659b1b3a8d/download, https://task-api.office.hiworks.com/v1/attached-files/675bf815e47410659b1b3a8e/download"
공주대학교 LINC3.0사업단,2024-12-09,2025-01-09,진행 완료,기획조정2팀,송경은,전화,공간 계약 완료,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6762486de226ea34ff1c4230/download, https://task-api.office.hiworks.com/v1/attached-files/676511ede56e9119ec09c11f/download"
차메디텍,2024-12-16,2025-01-07,진행 완료,기획조정1팀,한보라,전화,요청 없음,요청 없음,
케이씨텍,2024-12-16,2025-01-14,진행 완료,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6762489b81862b5afd2671c5/download, https://task-api.office.hiworks.com/v1/attached-files/677b68bcf298f42c44284768/download"
뉴플랫폼,2024-12-13,2025-01-09,진행 완료,기획조정1팀,이서호,개인,공간 계약 완료,디자인 요청,"https://task-api.office.hiworks.com/v1/attached-files/6760d7edae863f2f6b3b3d53/download, https://task-api.office.hiworks.com/v1/attached-files/6760d7edae863f2f6b3b3d54/download"
CG바이오,2024-12-18,,취소,기획조정2팀,송경은,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6762696581862b5afd26750b/download, https://task-api.office.hiworks.com/v1/attached-files/67626967e226ea34ff1c4741/download"
LG유플러스,2024-12-18,,취소,기획조정1팀,한보라,전화,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/6762936681862b5afd267896/download, https://task-api.office.hiworks.com/v1/attached-files/6762936681862b5afd267897/download"
BGF로지스,2024-11-14,2025-01-08,진행 완료,기획조정1팀,이서호,홈페이지,요청 없음,요청 없음,"https://task-api.office.hiworks.com/v1/attached-files/67639638e56e9119ec09ad03/download, https://task-api.office.hiworks.com/v1/attached-files/67639638e56e9119ec09ad04/download"
